Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Season
20T,Brandon Knight\knighbr03,23,TOT,0.0,1.0,645,0.002,63,32.3,17.0,3.9,5.2,1.4,0.2,0.422,0.389,0.874,4.5,0.106,2014
20T,Kawhi Leonard\leonaka01,23,SAS,0.0,1.0,645,0.002,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,2014
20T,Meyers Leonard\leoname01,22,POR,0.0,1.0,645,0.002,55,15.4,5.9,4.5,0.6,0.2,0.3,0.51,0.42,0.938,2.8,0.158,2014
1,CJ McCollum\mccolcj01,24,POR,101.0,559.0,650,0.86,80,34.8,20.8,3.2,4.3,1.2,0.3,0.448,0.417,0.827,6.0,0.104,2015
2,Kemba Walker\walkeke02,25,CHO,7.0,166.0,650,0.255,81,35.6,20.9,4.4,5.2,1.6,0.5,0.427,0.371,0.847,9.9,0.165,2015
3,Giannis Antetokounmpo\antetgi01,21,MIL,4.0,99.0,650,0.152,80,35.3,16.9,7.7,4.3,1.2,1.4,0.506,0.257,0.724,7.1,0.121,2015
4,Stephen Curry\curryst01,27,GSW,7.0,83.0,650,0.128,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,2015
5,Will Barton\bartowi01,25,DEN,1.0,62.0,650,0.095,82,28.7,14.4,5.8,2.5,0.9,0.5,0.432,0.345,0.806,4.3,0.088,2015
6,Jae Crowder\crowdja01,25,BOS,1.0,45.0,650,0.069,73,31.6,14.2,5.1,1.8,1.7,0.5,0.443,0.336,0.82,7.3,0.152,2015
7,Draymond Green\greendr01,25,GSW,2.0,43.0,650,0.066,81,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,2015
8,Isaiah Thomas\thomais02,26,BOS,3.0,30.0,650,0.046,82,32.2,22.2,3.0,6.2,1.1,0.1,0.428,0.359,0.871,9.7,0.177,2015
9,Hassan Whiteside\whiteha01,26,MIA,1.0,26.0,650,0.04,73,29.1,14.2,11.8,0.4,0.6,3.7,0.606,,0.65,10.3,0.233,2015
10,Kawhi Leonard\leonaka01,24,SAS,1.0,18.0,650,0.028,72,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.443,0.874,13.7,0.277,2015
11,Andre Drummond\drumman01,22,DET,1.0,11.0,650,0.017,81,32.9,16.2,14.8,0.8,1.5,1.4,0.521,0.333,0.355,7.4,0.133,2015
12,Gary Harris\harriga01,21,DEN,1.0,6.0,650,0.009,76,32.1,12.3,2.9,1.9,1.3,0.2,0.469,0.354,0.82,4.0,0.079,2015
13T,Kent Bazemore\bazemke01,26,ATL,0.0,4.0,650,0.006,75,27.8,11.6,5.1,2.3,1.3,0.5,0.441,0.357,0.815,4.1,0.094,2015
13T,Evan Fournier\fournev01,23,ORL,0.0,4.0,650,0.006,79,32.5,15.4,2.8,2.7,1.2,0.0,0.462,0.4,0.836,5.7,0.106,2015
15T,Rodney Hood\hoodro01,23,UTA,0.0,3.0,650,0.005,79,32.2,14.5,3.4,2.7,0.9,0.2,0.42,0.359,0.86,6.0,0.112,2015
15T,Reggie Jackson\jacksre01,25,DET,0.0,3.0,650,0.005,79,30.7,18.8,3.2,6.2,0.7,0.1,0.434,0.353,0.864,6.9,0.136,2015
15T,Ian Mahinmi\mahinia01,29,IND,0.0,3.0,650,0.005,71,25.6,9.3,7.1,1.5,0.9,1.1,0.589,,0.587,6.2,0.163,2015
15T,Russell Westbrook\westbru01,27,OKC,0.0,3.0,650,0.005,80,34.4,23.5,7.8,10.4,2.0,0.3,0.454,0.296,0.812,14.0,0.245,2015
19T,Zach LaVine\lavinza01,20,MIN,0.0,1.0,650,0.002,82,28.0,14.0,2.8,3.1,0.8,0.2,0.452,0.389,0.793,2.6,0.054,2015
19T,Kyle Lowry\lowryky01,29,TOR,0.0,1.0,650,0.002,77,37.0,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,2015
1,Giannis Antetokounmpo\antetgi01,22,MIL,80.0,428.0,500,0.856,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,2016
2,Nikola Jokić\jokicni01,21,DEN,14.0,161.0,500,0.322,73,27.9,16.7,9.8,4.9,0.8,0.8,0.578,0.324,0.825,9.7,0.228,2016
3,Rudy Gobert\goberru01,24,UTA,1.0,113.0,500,0.226,81,33.9,14.0,12.8,1.2,0.6,2.6,0.661,0.0,0.653,14.3,0.25,2016
4,Otto Porter\porteot01,23,WAS,1.0,43.0,500,0.086,80,32.6,13.4,6.4,1.5,1.5,0.5,0.516,0.434,0.832,9.4,0.173,2016
5,Isaiah Thomas\thomais02,27,BOS,0.0,35.0,500,0.07,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,2016
6,James Johnson\johnsja01,29,MIA,1.0,34.0,500,0.068,76,27.4,12.8,4.9,3.6,1.0,1.1,0.479,0.34,0.707,5.1,0.117,2016
7,Bradley Beal\bealbr01,23,WAS,1.0,19.0,500,0.038,77,34.9,23.1,3.1,3.5,1.1,0.3,0.482,0.404,0.825,8.5,0.152,2016
8,Devin Booker\bookede01,20,PHO,1.0,18.0,500,0.036,78,35.0,22.1,3.2,3.4,0.9,0.3,0.423,0.363,0.832,2.0,0.035,2016
9,Tim Hardaway\hardati02,24,ATL,0.0,14.0,500,0.028,79,27.3,14.5,2.8,2.3,0.7,0.2,0.455,0.357,0.766,4.8,0.107,2016
10,Mike Conley\conlemi01,29,MEM,1.0,5.0,500,0.01,69,33.2,20.5,3.5,6.3,1.3,0.3,0.46,0.408,0.859,10.0,0.209,2016
11,Dion Waiters\waitedi01,25,MIA,0.0,4.0,500,0.008,46,30.1,15.8,3.3,4.3,0.9,0.4,0.424,0.395,0.646,1.6,0.057,2016
12T,Gordon Hayward\haywago01,26,UTA,0.0,3.0,500,0.006,73,34.5,21.9,5.4,3.5,1.0,0.3,0.471,0.398,0.844,10.4,0.199,2016
12T,Jusuf Nurkić\nurkiju01,22,TOT,0.0,3.0,500,0.006,65,21.4,10.2,7.2,1.9,0.8,1.1,0.507,0.0,0.571,2.0,0.068,2016
12T,Kristaps Porziņģis\porzikr01,21,NYK,0.0,3.0,500,0.006,66,32.8,18.1,7.2,1.5,0.7,2.0,0.45,0.357,0.786,4.5,0.1,2016
12T,Dennis Schröder\schrode01,23,ATL,0.0,3.0,500,0.006,79,31.5,17.9,3.1,6.3,0.9,0.2,0.451,0.34,0.855,3.7,0.071,2016
16T,Harrison Barnes\barneha02,24,DAL,0.0,2.0,500,0.004,79,35.5,19.2,5.0,1.5,0.8,0.2,0.468,0.351,0.861,4.6,0.078,2016
16T,Seth Curry\curryse01,26,DAL,0.0,2.0,500,0.004,70,29.0,12.8,2.6,2.7,1.1,0.1,0.481,0.425,0.85,4.6,0.11,2016
16T,Gary Harris\harriga01,22,DEN,0.0,2.0,500,0.004,57,31.3,14.9,3.1,2.9,1.2,0.1,0.502,0.42,0.776,4.6,0.124,2016
16T,Myles Turner\turnemy01,20,IND,0.0,2.0,500,0.004,81,31.4,14.5,7.3,1.3,0.9,2.1,0.511,0.348,0.809,8.0,0.151,2016
20T,Avery Bradley\bradlav01,26,BOS,0.0,1.0,500,0.002,55,33.4,16.3,6.1,2.2,1.2,0.2,0.463,0.39,0.731,3.1,0.081,2016
20T,Clint Capela\capelca01,22,HOU,0.0,1.0,500,0.002,65,23.9,12.6,8.1,1.0,0.5,1.2,0.643,,0.531,5.9,0.184,2016
20T,DeMar DeRozan\derozde01,27,TOR,0.0,1.0,500,0.002,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9.0,0.166,2016
20T,Joe Ingles\inglejo01,29,UTA,0.0,1.0,500,0.002,82,24.0,7.1,3.2,2.7,1.2,0.1,0.452,0.441,0.735,5.0,0.123,2016
20T,John Wall\walljo01,26,WAS,0.0,1.0,500,0.002,78,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149,2016
20T,Hassan Whiteside\whiteha01,27,MIA,0.0,1.0,500,0.002,77,32.6,17.0,14.1,0.7,0.7,2.1,0.557,,0.628,9.5,0.181,2016
1,Victor Oladipo\oladivi01,25,IND,99.0,499.0,505,0.988,75,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,2017
2,Clint Capela\capelca01,23,HOU,1.0,99.0,505,0.196,74,27.5,13.9,10.8,0.9,0.8,1.9,0.652,0.0,0.56,10.2,0.242,2017
3,Spencer Dinwiddie\dinwisp01,24,BRK,1.0,50.0,505,0.099,80,28.8,12.6,3.2,6.6,0.9,0.3,0.387,0.326,0.813,5.7,0.118,2017
4,Andre Drummond\drumman01,24,DET,0.0,46.0,505,0.091,78,33.7,15.0,16.0,3.0,1.5,1.6,0.529,0.0,0.605,10.3,0.189,2017
5,Julius Randle\randlju01,23,LAL,0.0,36.0,505,0.071,82,26.7,16.1,8.0,2.6,0.5,0.5,0.558,0.222,0.718,6.6,0.145,2017
6,Steven Adams\adamsst01,24,OKC,0.0,34.0,505,0.067,76,32.7,13.9,9.0,1.2,1.2,1.0,0.629,0.0,0.559,9.7,0.187,2017
7,Jaylen Brown\brownja02,21,BOS,0.0,32.0,505,0.063,70,30.7,14.5,4.9,1.6,1.0,0.4,0.465,0.395,0.644,4.5,0.1,2017
8,Jamal Murray\murraja01,20,DEN,0.0,24.0,505,0.048,81,31.7,16.7,3.7,3.4,1.0,0.3,0.451,0.378,0.905,5.5,0.103,2017
9,DeMar DeRozan\derozde01,28,TOR,0.0,9.0,505,0.018,80,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,2017
10T,Terry Rozier\roziete01,23,BOS,0.0,8.0,505,0.016,80,25.9,11.3,4.7,2.9,1.0,0.2,0.395,0.381,0.772,5.6,0.13,2017
10T,Lou Williams\willilo02,31,LAC,0.0,8.0,505,0.016,79,32.8,22.6,2.5,5.3,1.1,0.2,0.435,0.359,0.88,6.7,0.125,2017
12,Giannis Antetokounmpo\antetgi01,23,MIL,0.0,7.0,505,0.014,75,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,2017
13T,Nikola Jokić\jokicni01,22,DEN,0.0,6.0,505,0.012,75,32.6,18.5,10.7,6.1,1.2,0.8,0.499,0.396,0.85,10.7,0.211,2017
13T,E'Twaun Moore\mooreet01,28,NOP,0.0,6.0,505,0.012,82,31.5,12.5,2.9,2.3,1.0,0.1,0.508,0.425,0.706,4.4,0.081,2017
13T,Domantas Sabonis\sabondo01,21,IND,0.0,6.0,505,0.012,74,24.5,11.6,7.7,2.0,0.5,0.4,0.514,0.351,0.75,4.7,0.126,2017
13T,Fred VanVleet\vanvlfr01,23,TOR,0.0,6.0,505,0.012,76,20.0,8.6,2.4,3.2,0.9,0.3,0.426,0.414,0.832,4.7,0.149,2017
17T,Tyreke Evans\evansty01,28,MEM,0.0,4.0,505,0.008,52,30.9,19.4,5.1,5.2,1.1,0.3,0.452,0.399,0.785,4.2,0.126,2017
17T,Brandon Ingram\ingrabr01,20,LAL,0.0,4.0,505,0.008,59,33.5,16.1,5.3,3.9,0.8,0.7,0.47,0.39,0.681,2.8,0.068,2017
17T,Dejounte Murray\murrade01,21,SAS,0.0,4.0,505,0.008,81,21.5,8.1,5.7,2.9,1.2,0.4,0.443,0.265,0.709,3.2,0.087,2017
20T,Tobias Harris\harrito02,25,TOT,0.0,3.0,505,0.006,80,33.4,18.6,5.5,2.4,0.9,0.4,0.46,0.411,0.829,6.7,0.12,2017
20T,Joe Ingles\inglejo01,30,UTA,0.0,3.0,505,0.006,82,31.4,11.5,4.2,4.8,1.1,0.2,0.467,0.44,0.795,7.6,0.141,2017
20T,Dario Šarić\saricda01,23,PHI,0.0,3.0,505,0.006,78,29.6,14.6,6.7,2.6,0.7,0.3,0.453,0.393,0.86,6.6,0.137,2017
23T,Kris Dunn\dunnkr01,23,CHI,0.0,2.0,505,0.004,52,29.3,13.4,4.3,6.0,2.0,0.5,0.429,0.321,0.737,0.9,0.027,2017
23T,Aaron Gordon\gordoaa01,22,ORL,0.0,2.0,505,0.004,58,32.9,17.6,7.9,2.3,1.0,0.8,0.434,0.336,0.698,2.9,0.072,2017
25T,Montrezl Harrell\harremo01,24,LAC,0.0,1.0,505,0.002,76,17.0,11.0,4.0,1.0,0.5,0.7,0.635,0.143,0.626,5.5,0.205,2017
25T,Kristaps Porziņģis\porzikr01,22,NYK,0.0,1.0,505,0.002,48,32.4,22.7,6.6,1.2,0.8,2.4,0.439,0.395,0.793,3.2,0.099,2017
25T,Taurean Prince\princta02,23,ATL,0.0,1.0,505,0.002,82,30.0,14.1,4.7,2.6,1.0,0.5,0.426,0.385,0.844,2.0,0.038,2017
25T,Josh Richardson\richajo01,24,MIA,0.0,1.0,505,0.002,81,33.2,12.9,3.5,2.9,1.5,0.9,0.451,0.378,0.845,5.4,0.096,2017
25T,Ricky Rubio\rubiori01,27,UTA,0.0,1.0,505,0.002,77,29.3,13.1,4.6,5.3,1.6,0.1,0.418,0.352,0.866,5.3,0.112,2017
25T,Pascal Siakam\siakapa01,23,TOR,0.0,1.0,505,0.002,81,20.7,7.3,4.5,2.0,0.8,0.5,0.508,0.22,0.621,4.7,0.133,2017
25T,Karl-Anthony Towns\townska01,22,MIN,0.0,1.0,505,0.002,82,35.6,21.3,12.3,2.4,0.8,1.4,0.545,0.421,0.858,14.0,0.23,2017
25T,T.J. Warren\warretj01,24,PHO,0.0,1.0,505,0.002,65,33.0,19.6,5.1,1.3,1.0,0.6,0.498,0.222,0.757,3.4,0.077,2017
1,Pascal Siakam\siakapa01,24,TOR,86.0,469.0,500,0.938,80,31.9,16.9,6.9,3.1,0.9,0.7,0.549,0.369,0.785,9.3,0.175,2018
2,D'Angelo Russell\russeda01,22,BRK,12.0,255.0,500,0.51,81,30.2,21.1,3.9,7.0,1.2,0.2,0.434,0.369,0.78,5.0,0.097,2018
3,De'Aaron Fox\foxde01,21,SAC,1.0,77.0,500,0.154,81,31.4,17.3,3.8,7.3,1.6,0.6,0.458,0.371,0.727,5.6,0.106,2018
4,Buddy Hield\hieldbu01,26,SAC,0.0,22.0,500,0.044,82,31.9,20.7,5.0,2.5,0.7,0.4,0.458,0.427,0.886,5.9,0.108,2018
5,Nikola Vučević\vucevni01,28,ORL,0.0,20.0,500,0.04,80,31.4,20.8,12.0,3.8,1.0,1.1,0.518,0.364,0.789,10.1,0.193,2018
6,Domantas Sabonis\sabondo01,22,IND,0.0,10.0,500,0.02,74,24.8,14.1,9.3,2.9,0.6,0.4,0.59,0.529,0.715,7.6,0.197,2018
7,Montrezl Harrell\harremo01,25,LAC,0.0,9.0,500,0.018,82,26.3,16.6,6.5,2.0,0.9,1.3,0.615,0.176,0.643,8.7,0.193,2018
8,Derrick Rose\rosede01,30,MIN,1.0,8.0,500,0.016,51,27.3,18.0,2.7,4.3,0.6,0.2,0.482,0.37,0.856,3.0,0.102,2018
9,John Collins\collijo01,21,ATL,0.0,6.0,500,0.012,61,30.0,19.5,9.8,2.0,0.4,0.6,0.56,0.348,0.763,6.0,0.158,2018
10,Giannis Antetokounmpo\antetgi01,24,MIL,0.0,4.0,500,0.008,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,2018
11T,Malik Beasley\beaslma01,22,DEN,0.0,3.0,500,0.006,81,23.2,11.3,2.5,1.2,0.7,0.1,0.474,0.402,0.848,4.5,0.115,2018
11T,Danilo Gallinari\gallida01,30,LAC,0.0,3.0,500,0.006,68,30.3,19.8,6.1,2.6,0.7,0.3,0.463,0.433,0.904,8.2,0.191,2018
11T,Paul George\georgpa01,28,OKC,0.0,3.0,500,0.006,77,36.9,28.0,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,2018
14T,Bojan Bogdanović\bogdabo02,29,IND,0.0,2.0,500,0.004,81,31.8,18.0,4.1,2.0,0.9,0.0,0.497,0.425,0.807,6.8,0.126,2018
14T,Thomas Bryant\bryanth01,21,WAS,0.0,2.0,500,0.004,72,20.8,10.5,6.3,1.3,0.3,0.9,0.616,0.333,0.781,5.6,0.178,2018
16T,Willie Cauley-Stein\caulewi01,25,SAC,0.0,1.0,500,0.002,81,27.3,11.9,8.4,2.4,1.2,0.6,0.556,0.5,0.551,6.7,0.146,2018
16T,Spencer Dinwiddie\dinwisp01,25,BRK,0.0,1.0,500,0.002,68,28.1,16.8,2.4,4.6,0.6,0.3,0.442,0.335,0.806,4.8,0.121,2018
16T,Bryn Forbes\forbebr01,25,SAS,0.0,1.0,500,0.002,82,28.0,11.8,2.9,2.1,0.5,0.0,0.456,0.426,0.885,3.8,0.079,2018
16T,Jerami Grant\grantje01,24,OKC,0.0,1.0,500,0.002,80,32.7,13.6,5.2,1.0,0.8,1.3,0.497,0.392,0.71,7.3,0.134,2018
16T,Zach LaVine\lavinza01,23,CHI,0.0,1.0,500,0.002,63,34.5,23.7,4.7,4.5,1.0,0.4,0.467,0.374,0.832,2.8,0.062,2018
16T,Josh Richardson\richajo01,25,MIA,0.0,1.0,500,0.002,73,34.8,16.6,3.6,4.1,1.1,0.5,0.412,0.357,0.861,5.6,0.106,2018
16T,Derrick White\whitede01,24,SAS,0.0,1.0,500,0.002,67,25.8,9.9,3.7,3.9,1.0,0.7,0.479,0.338,0.772,3.6,0.101,2018
1,Brandon Ingram\ingrabr01,22,NOP,42.0,326.0,500,0.652,62,33.9,23.8,6.1,4.2,1.0,0.6,0.463,0.391,0.851,5.1,0.115,2019
2,Bam Adebayo\adebaba01,22,MIA,38.0,295.0,500,0.59,72,33.6,15.9,10.2,5.1,1.1,1.3,0.557,0.143,0.691,8.5,0.168,2019
3,Luka Dončić\doncilu01,20,DAL,12.0,101.0,500,0.202,61,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207,2019
4,Jayson Tatum\tatumja01,21,BOS,3.0,57.0,500,0.114,66,34.3,23.4,7.0,3.0,1.4,0.9,0.45,0.403,0.812,6.9,0.146,2019
5,Devonte' Graham\grahade01,24,CHO,2.0,50.0,500,0.1,63,35.1,18.2,3.4,7.5,1.0,0.2,0.382,0.373,0.82,3.4,0.073,2019
6,Shai Gilgeous-Alexander\gilgesh01,21,OKC,0.0,21.0,500,0.042,70,34.7,19.0,5.9,3.3,1.1,0.7,0.471,0.347,0.807,6.1,0.121,2019
7,Pascal Siakam\siakapa01,25,TOR,1.0,13.0,500,0.026,60,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123,2019
8,Christian Wood\woodch01,24,DET,1.0,11.0,500,0.022,62,21.4,13.1,6.3,1.0,0.5,0.9,0.567,0.386,0.744,5.1,0.183,2019
9,Trae Young\youngtr01,21,ATL,0.0,10.0,500,0.02,60,35.3,29.6,4.3,9.3,1.1,0.1,0.437,0.361,0.86,5.9,0.133,2019
10,Fred VanVleet\vanvlfr01,25,TOR,1.0,6.0,500,0.012,54,35.7,17.6,3.8,6.6,1.9,0.3,0.413,0.39,0.848,5.8,0.145,2019
11T,Dāvis Bertāns\bertada01,27,WAS,0.0,3.0,500,0.006,54,29.3,15.4,4.5,1.7,0.7,0.6,0.434,0.424,0.852,3.5,0.107,2019
11T,Jaylen Brown\brownja02,23,BOS,0.0,3.0,500,0.006,57,33.9,20.3,6.4,2.1,1.1,0.4,0.481,0.382,0.724,4.9,0.123,2019
13,Markelle Fultz\fultzma01,21,ORL,0.0,2.0,500,0.004,72,27.7,12.1,3.3,5.1,1.3,0.2,0.465,0.267,0.73,2.7,0.065,2019
14T,Spencer Dinwiddie\dinwisp01,26,BRK,0.0,1.0,500,0.002,64,31.2,20.6,3.5,6.8,0.6,0.3,0.415,0.308,0.778,4.8,0.116,2019
14T,Duncan Robinson\robindu01,25,MIA,0.0,1.0,500,0.002,73,29.7,13.5,3.2,1.4,0.5,0.3,0.47,0.446,0.931,5.3,0.118,2019
1,Julius Randle\randlju01,26,NYK,98.0,493.0,500,0.986,71,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14,2020
2,Jerami Grant\grantje01,26,DET,2.0,140.0,500,0.28,54,33.9,22.3,4.6,2.8,0.6,1.1,0.429,0.35,0.845,3.2,0.083,2020
3,Michael Porter\portemi01,22,DEN,0.0,138.0,500,0.276,61,31.3,19.0,7.3,1.1,0.7,0.9,0.542,0.445,0.791,6.9,0.173,2020
4,Christian Wood\woodch01,25,HOU,0.0,44.0,500,0.088,41,32.3,21.0,9.6,1.7,0.8,1.2,0.514,0.374,0.631,2.8,0.1,2020
5,Zach LaVine\lavinza01,25,CHI,0.0,20.0,500,0.04,58,35.1,27.4,5.0,4.9,0.8,0.5,0.507,0.419,0.849,5.9,0.138,2020
6T,Chris Boucher\bouchch01,28,TOR,0.0,10.0,500,0.02,60,24.2,13.6,6.7,1.1,0.6,1.9,0.514,0.383,0.788,6.1,0.201,2020
6T,Jaylen Brown\brownja02,24,BOS,0.0,10.0,500,0.02,58,34.5,24.7,6.0,3.4,1.2,0.6,0.484,0.397,0.764,4.8,0.115,2020
8,Mikal Bridges\bridgmi01,24,PHO,0.0,8.0,500,0.016,72,32.6,13.5,4.3,2.1,1.1,0.9,0.543,0.425,0.84,8.0,0.164,2020
9,Zion Williamson\willizi01,20,NOP,0.0,6.0,500,0.012,61,33.2,27.0,7.2,3.7,0.9,0.6,0.611,0.294,0.698,8.7,0.205,2020
10T,Clint Capela\capelca01,26,ATL,0.0,3.0,500,0.006,63,30.1,15.2,14.3,0.8,0.7,2.0,0.594,,0.573,8.2,0.207,2020
10T,Jordan Clarkson\clarkjo01,28,UTA,0.0,3.0,500,0.006,68,26.7,18.4,4.0,2.5,0.9,0.1,0.425,0.347,0.896,4.2,0.111,2020
10T,Luguentz Dort\dortlu01,21,OKC,0.0,3.0,500,0.006,52,29.7,14.0,3.6,1.7,0.9,0.4,0.387,0.343,0.744,0.3,0.011,2020
10T,Darius Garland\garlada01,21,CLE,0.0,3.0,500,0.006,54,33.1,17.4,2.4,6.1,1.2,0.1,0.451,0.395,0.848,1.2,0.033,2020
10T,Jordan Poole\poolejo01,21,GSW,0.0,3.0,500,0.006,51,19.4,12.0,1.8,1.9,0.5,0.2,0.432,0.351,0.882,1.9,0.094,2020
10T,Nikola Vučević\vucevni01,30,TOT,0.0,3.0,500,0.006,70,33.5,23.4,11.7,3.8,0.9,0.7,0.477,0.4,0.84,6.3,0.129,2020
16T,Kyle Anderson\anderky01,27,MEM,0.0,2.0,500,0.004,69,27.3,12.4,5.7,3.6,1.2,0.8,0.468,0.36,0.783,5.6,0.143,2020
16T,RJ Barrett\barrerj01,20,NYK,0.0,2.0,500,0.004,72,34.9,17.6,5.8,3.0,0.7,0.3,0.441,0.401,0.746,4.1,0.078,2020
16T,Miles Bridges\bridgmi02,22,CHO,0.0,2.0,500,0.004,66,29.3,12.7,6.0,2.2,0.7,0.8,0.503,0.4,0.867,4.2,0.105,2020
19T,Lonzo Ball\balllo01,23,NOP,0.0,1.0,500,0.002,55,31.8,14.6,4.8,5.7,1.5,0.6,0.414,0.378,0.781,3.2,0.089,2020
19T,Bojan Bogdanović\bogdabo02,31,UTA,0.0,1.0,500,0.002,72,30.8,17.0,3.9,1.9,0.6,0.1,0.439,0.39,0.879,5.2,0.113,2020
19T,Shai Gilgeous-Alexander\gilgesh01,22,OKC,0.0,1.0,500,0.002,35,33.7,23.7,4.7,5.9,0.8,0.7,0.508,0.418,0.808,3.5,0.143,2020
19T,Richaun Holmes\holmeri01,27,SAC,0.0,1.0,500,0.002,61,29.2,14.2,8.3,1.7,0.6,1.6,0.637,0.182,0.794,6.1,0.165,2020
19T,T.J. McConnell\mccontj01,28,IND,0.0,1.0,500,0.002,69,26.0,8.6,3.7,6.6,1.9,0.3,0.559,0.313,0.688,4.8,0.128,2020
19T,Terry Rozier\roziete01,26,CHO,0.0,1.0,500,0.002,69,34.5,20.4,4.4,4.2,1.3,0.4,0.45,0.389,0.817,5.2,0.105,2020
19T,Andrew Wiggins\wiggian01,25,GSW,0.0,1.0,500,0.002,71,33.3,18.6,4.9,2.4,0.9,1.0,0.477,0.38,0.714,3.9,0.08,2020
